,price,address,city,beds,baths,sqft
0,"$554,900",15955 Longmeadow Lane,Colorado Springs CO 80921,5 beds,4 baths,"3,872 sq. ft"
1,"$539,000",8465 Vance Court,Colorado Springs CO 80919,5 beds,4 baths,"4,076 sq. ft"
2,"$535,000",527 Shrubland Drive,Colorado Springs CO 80921,4 beds,3 baths,"3,360 sq. ft"
3,"$529,500",2447 Astron Drive,Colorado Springs CO 80906,6 beds,3 baths,"2,850 sq. ft"
4,"$499,900",7155 Aspen Brush Court,Colorado Springs CO 80908,5 beds,4 baths,"3,889 sq. ft"
5,"$480,000",5045 Broadmoor Bluffs Drive,Colorado Springs CO 80906,4 beds,2 baths,"3,085 sq. ft"
6,"$445,000",13819 Paradise Villas Grove,Colorado Springs CO 80921,4 beds,3 baths,"3,336 sq. ft"
7,"$410,000",4431 Songglen Circle,Colorado Springs CO 80906,3 beds,3 baths,"2,972 sq. ft"
8,"$409,900",6562 Edmondstown Drive,Colorado Springs CO 80923,4 beds,4 baths,"3,213 sq. ft"
9,"$399,900",6773 Donahue Drive,Colorado Springs CO 80923,4 beds,3 baths,"3,373 sq. ft"
10,"$399,000",6982 Tullamore Drive,Colorado Springs CO 80923,4 beds,3 baths,"2,883 sq. ft"
11,"$380,000",905 Custer Avenue,Colorado Springs CO 80903,3 beds,1 bath,"1,388 sq. ft"
12,"$325,000",2715 Hangtree Court,Colorado Springs CO 80907,4 beds,2 baths,"1,856 sq. ft"
13,"$304,900",5133 Mountain Air Circle,Colorado Springs CO 80916,3 beds,3 baths,"1,439 sq. ft"
14,"$300,000",46 N Albion Street,Colorado Springs CO 80911,4 beds,2 baths,"1,664 sq. ft"
15,"$300,000",615 Manitou Boulevard,Colorado Springs CO 80904,3 beds,2 baths,"2,561 sq. ft"
16,"$299,995",6534 Harvey Lane,Colorado Springs CO 80923,3 beds,2 baths,"1,463 sq. ft"
17,"$299,900",3301 Pennsylvania Avenue,Colorado Springs CO 80909,3 beds,1 bath,"1,748 sq. ft"
18,"$290,000",631 Glen Eyrie Circle,Colorado Springs CO 80904,2 beds,1 bath,"1,144 sq. ft"
19,"$290,000",147 Dartmouth Street,Colorado Springs CO 80911,4 beds,2 baths,"1,794 sq. ft"
